Installation,Taux occupation civières(%),Nombre de civières fonctionnelles,Nombre de patients sur civière,Nombre de patients sur civière +24h,Nombre de patients sur civière +48h,Nombre patients arrivés en ambulance,Nombre inscriptions,Nombre inscriptions avec SAG,date
Hôpital Louis-H. Lafontaine,67,12,8,4,2,2,18,0,2020-10-09
Hôpital Santa Cabrini,121,38,46,21,3,30,77,0,2020-10-09
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,87,54,47,11,1,41,143,1,2020-10-09
Centre hospitalier de St. Mary,109,22,24,2,0,22,102,0,2020-10-09
Hôpital de LaSalle,53,15,8,0,0,12,63,0,2020-10-09
Hôpital Douglas,100,6,6,0,0,1,21,0,2020-10-09
Hôpital général du Lakeshore,129,31,40,12,1,23,98,0,2020-10-09
L'Hôpital général juif Sir Mortimer B. Davis,106,53,56,10,2,41,185,1,2020-10-09
Hôpital de Verdun,108,26,28,2,0,28,96,0,2020-10-09
Hôpital Notre-Dame,123,35,43,7,1,37,96,0,2020-10-09
Hôpital du Sacré-Coeur de Montréal,113,46,52,15,5,32,140,0,2020-10-09
Hôpital Fleury,72,18,13,0,0,22,80,0,2020-10-09
Hôpital Jean-Talon,95,22,21,3,0,21,88,0,2020-10-09
Pavillon Albert-Prévost,23,13,3,1,1,0,11,0,2020-10-09
Hôpital de Lachine,93,14,13,5,2,9,40,0,2020-10-09
Hôpital général de Montréal,142,31,44,6,1,31,84,0,2020-10-09
Hôpital Royal Victoria,106,33,35,13,7,17,108,0,2020-10-09
L'hôpital de Montréal pour enfants,125,12,15,0,0,6,135,0,2020-10-09
Institut de cardiologie de Montréal,14,22,3,0,0,2,43,0,2020-10-09
CHU Sainte-Justine,31,16,5,0,0,11,148,15,2020-10-10
Centre hospitalier de l'Université de Montréal,129,51,66,26,5,47,123,0,2020-10-10
Hôpital Louis-H. Lafontaine,108,12,13,7,3,4,13,0,2020-10-10
Hôpital Santa Cabrini,103,38,39,20,8,31,74,0,2020-10-10
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,102,54,55,14,3,40,141,1,2020-10-10
Centre hospitalier de St. Mary,64,22,14,3,0,18,79,0,2020-10-10
Hôpital de LaSalle,87,15,13,2,0,8,58,0,2020-10-10
Hôpital Douglas,150,6,9,1,0,0,12,0,2020-10-10
Hôpital général du Lakeshore,97,31,30,10,3,17,72,0,2020-10-10
L'Hôpital général juif Sir Mortimer B. Davis,85,53,45,13,4,30,147,1,2020-10-10
Hôpital de Verdun,104,26,27,5,0,23,90,0,2020-10-10
Hôpital Notre-Dame,94,35,33,12,0,34,83,0,2020-10-10
Hôpital du Sacré-Coeur de Montréal,104,46,48,19,5,38,139,0,2020-10-10
Hôpital Fleury,117,18,21,1,0,16,71,1,2020-10-10
Hôpital Jean-Talon,77,22,17,4,0,19,70,0,2020-10-10
Pavillon Albert-Prévost,46,13,6,2,0,0,6,0,2020-10-10
Hôpital de Lachine,64,14,9,2,1,8,31,0,2020-10-10
Hôpital général de Montréal,100,31,31,10,1,29,73,0,2020-10-10
Hôpital Royal Victoria,118,33,39,17,8,17,107,0,2020-10-10
L'hôpital de Montréal pour enfants,50,12,6,0,0,7,110,1,2020-10-10
Institut de cardiologie de Montréal,45,22,10,1,0,3,37,0,2020-10-10
CHU Sainte-Justine,25,16,4,0,0,8,136,17,2020-10-11
Centre hospitalier de l'Université de Montréal,114,51,58,17,7,43,141,0,2020-10-11
Hôpital Louis-H. Lafontaine,67,12,8,5,3,3,13,0,2020-10-11
Hôpital Santa Cabrini,116,38,44,18,9,27,71,0,2020-10-11
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,94,54,51,19,6,45,125,0,2020-10-11
Centre hospitalier de St. Mary,77,22,17,1,0,20,80,0,2020-10-11
Hôpital de LaSalle,40,15,6,0,0,9,48,0,2020-10-11
Hôpital Douglas,183,6,11,0,0,3,18,0,2020-10-11
Hôpital général du Lakeshore,129,31,40,15,2,16,84,0,2020-10-11
L'Hôpital général juif Sir Mortimer B. Davis,74,53,39,11,6,26,148,2,2020-10-11
Hôpital de Verdun,104,26,27,7,0,25,72,0,2020-10-11
Hôpital Notre-Dame,94,35,33,15,7,29,73,0,2020-10-11
Hôpital du Sacré-Coeur de Montréal,111,46,51,22,6,23,106,0,2020-10-11
Hôpital Fleury,56,18,10,1,0,16,56,0,2020-10-11
Hôpital Jean-Talon,82,22,18,4,0,18,58,1,2020-10-11
Pavillon Albert-Prévost,38,13,5,0,0,0,9,0,2020-10-11
Hôpital de Lachine,57,14,8,1,0,9,30,0,2020-10-11
Hôpital général de Montréal,113,31,35,15,8,25,72,0,2020-10-11
Hôpital Royal Victoria,124,33,41,16,7,20,108,0,2020-10-11
L'hôpital de Montréal pour enfants,25,12,3,0,0,3,121,0,2020-10-11
Institut de cardiologie de Montréal,41,22,9,3,1,3,22,0,2020-10-11
CHU Sainte-Justine,25,16,4,0,0,10,169,20,2020-10-12
Centre hospitalier de l'Université de Montréal,131,51,67,16,6,48,133,0,2020-10-12
Hôpital Louis-H. Lafontaine,75,12,9,7,4,2,13,0,2020-10-12
Hôpital Santa Cabrini,113,38,43,23,11,27,84,0,2020-10-12
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,115,54,62,22,10,40,128,0,2020-10-12
Centre hospitalier de St. Mary,105,22,23,3,0,29,96,1,2020-10-12
Hôpital de LaSalle,60,15,9,0,0,8,66,0,2020-10-12
Hôpital Douglas,283,6,17,7,0,3,15,0,2020-10-12
Hôpital général du Lakeshore,139,31,43,22,12,21,85,0,2020-10-12
L'Hôpital général juif Sir Mortimer B. Davis,70,53,37,12,7,33,168,0,2020-10-12
Hôpital de Verdun,119,26,31,9,0,30,102,0,2020-10-12
Hôpital Notre-Dame,117,35,41,17,10,35,83,0,2020-10-12
Hôpital du Sacré-Coeur de Montréal,117,46,54,28,9,30,116,1,2020-10-12
Hôpital Fleury,78,18,14,4,0,18,75,0,2020-10-12
Hôpital Jean-Talon,86,22,19,2,0,21,93,0,2020-10-12
Pavillon Albert-Prévost,38,13,5,3,0,1,7,0,2020-10-12
Hôpital de Lachine,50,14,7,1,0,9,33,0,2020-10-12
Hôpital général de Montréal,110,31,34,13,7,25,61,1,2020-10-12
Hôpital Royal Victoria,106,33,35,21,10,16,94,0,2020-10-12
L'hôpital de Montréal pour enfants,58,12,7,0,0,4,129,4,2020-10-12
Institut de cardiologie de Montréal,27,22,6,3,0,1,31,0,2020-10-12
CHU Sainte-Justine,25,16,4,0,0,9,152,19,2020-10-13
Centre hospitalier de l'Université de Montréal,127,51,65,20,3,42,147,0,2020-10-13
Hôpital Louis-H. Lafontaine,58,12,7,3,1,1,16,0,2020-10-13
Hôpital Santa Cabrini,137,38,52,17,12,33,83,0,2020-10-13
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,141,54,76,24,9,40,145,0,2020-10-13
Centre hospitalier de St. Mary,109,22,24,5,0,18,97,0,2020-10-13
Hôpital de LaSalle,93,15,14,2,0,8,75,0,2020-10-13
Hôpital Douglas,167,6,10,2,0,2,15,0,2020-10-13
Hôpital général du Lakeshore,135,31,42,17,9,18,71,0,2020-10-13
L'Hôpital général juif Sir Mortimer B. Davis,96,53,51,5,2,35,196,0,2020-10-13
Hôpital de Verdun,112,26,29,10,0,18,81,0,2020-10-13
Hôpital Notre-Dame,114,35,40,15,2,33,81,0,2020-10-13
Hôpital du Sacré-Coeur de Montréal,122,46,56,27,13,31,138,0,2020-10-13
Hôpital Fleury,83,18,15,2,0,13,62,0,2020-10-13
Hôpital Jean-Talon,82,22,18,0,0,17,87,2,2020-10-13
Pavillon Albert-Prévost,54,13,7,5,3,0,5,0,2020-10-13
Hôpital de Lachine,71,14,10,2,0,8,40,0,2020-10-13
Hôpital général de Montréal,119,31,37,8,2,22,75,1,2020-10-13
Hôpital Royal Victoria,118,33,39,9,8,14,130,1,2020-10-13
L'hôpital de Montréal pour enfants,83,12,10,0,0,7,141,3,2020-10-13
Institut de cardiologie de Montréal,50,22,11,0,0,0,38,0,2020-10-13
CHU Sainte-Justine,50,16,8,0,0,11,167,16,2020-10-14
Centre hospitalier de l'Université de Montréal,114,51,58,19,6,50,141,0,2020-10-14
Hôpital Louis-H. Lafontaine,75,12,9,3,0,4,15,0,2020-10-14
Hôpital Santa Cabrini,150,38,57,31,9,35,79,0,2020-10-14
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,106,54,57,16,5,48,158,1,2020-10-14
Centre hospitalier de St. Mary,123,22,27,5,0,20,96,0,2020-10-14
Hôpital de LaSalle,67,15,10,0,0,11,74,0,2020-10-14
Hôpital Douglas,83,6,5,0,0,5,16,0,2020-10-14
Hôpital général du Lakeshore,145,31,45,11,4,24,93,0,2020-10-14
L'Hôpital général juif Sir Mortimer B. Davis,91,53,48,10,1,38,195,0,2020-10-14
Hôpital de Verdun,119,26,31,2,0,27,113,0,2020-10-14
Hôpital Notre-Dame,114,35,40,10,2,36,98,0,2020-10-14
Hôpital du Sacré-Coeur de Montréal,104,46,48,22,12,30,128,1,2020-10-14
Hôpital Fleury,117,18,21,3,0,20,62,0,2020-10-14
Hôpital Jean-Talon,73,22,16,2,0,21,89,0,2020-10-14
Pavillon Albert-Prévost,31,13,4,2,1,1,8,0,2020-10-14
Hôpital de Lachine,100,14,14,5,0,12,56,0,2020-10-14
Hôpital général de Montréal,100,31,31,7,2,27,77,0,2020-10-14
Hôpital Royal Victoria,118,33,39,10,5,24,122,0,2020-10-14
L'hôpital de Montréal pour enfants,75,12,9,0,0,7,136,1,2020-10-14
Institut de cardiologie de Montréal,64,22,14,4,0,4,39,0,2020-10-14
CHU Sainte-Justine,25,16,4,0,0,10,147,17,2020-10-15
Centre hospitalier de l'Université de Montréal,131,51,67,18,5,51,160,0,2020-10-15
Hôpital Louis-H. Lafontaine,50,12,6,3,0,3,14,0,2020-10-15
Hôpital Santa Cabrini,124,38,47,24,11,36,81,0,2020-10-15
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,102,54,55,12,4,49,161,0,2020-10-15
Centre hospitalier de St. Mary,86,22,19,0,0,21,84,0,2020-10-15
Hôpital de LaSalle,87,15,13,2,0,11,73,0,2020-10-15
Hôpital Douglas,167,6,10,0,0,2,17,0,2020-10-15
Hôpital général du Lakeshore,126,31,39,20,1,16,77,0,2020-10-15
L'Hôpital général juif Sir Mortimer B. Davis,68,53,36,4,2,34,217,0,2020-10-15
Hôpital de Verdun,115,26,30,5,0,33,94,0,2020-10-15
Hôpital Notre-Dame,123,35,43,13,3,42,99,0,2020-10-15
Hôpital du Sacré-Coeur de Montréal,115,46,53,18,10,32,132,0,2020-10-15
Hôpital Fleury,67,18,12,2,0,19,74,0,2020-10-15
Hôpital Jean-Talon,91,22,20,3,0,23,115,0,2020-10-15
Pavillon Albert-Prévost,46,13,6,1,0,0,10,0,2020-10-15
Hôpital de Lachine,86,14,12,7,1,8,34,0,2020-10-15
Hôpital général de Montréal,103,31,32,7,0,26,70,0,2020-10-15
Hôpital Royal Victoria,124,33,41,9,3,20,112,0,2020-10-15
L'hôpital de Montréal pour enfants,142,12,17,1,0,6,131,0,2020-10-15
Institut de cardiologie de Montréal,77,22,17,4,0,3,42,0,2020-10-15
CHU Sainte-Justine,31,16,5,0,0,5,146,20,2020-10-16
Centre hospitalier de l'Université de Montréal,120,51,61,17,2,45,164,0,2020-10-16
Hôpital Louis-H. Lafontaine,42,12,5,2,1,3,9,0,2020-10-16
Hôpital Santa Cabrini,71,38,27,11,4,31,85,0,2020-10-16
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,89,54,48,10,4,46,161,0,2020-10-16
Centre hospitalier de St. Mary,59,22,13,2,0,21,84,0,2020-10-16
Hôpital de LaSalle,47,15,7,0,0,9,67,0,2020-10-16
Hôpital Douglas,183,6,11,1,0,1,19,0,2020-10-16
Hôpital général du Lakeshore,97,31,30,9,3,22,99,0,2020-10-16
L'Hôpital général juif Sir Mortimer B. Davis,89,53,47,6,0,41,202,0,2020-10-16
Hôpital de Verdun,88,26,23,0,0,21,83,0,2020-10-16
Hôpital Notre-Dame,134,35,47,21,4,34,86,0,2020-10-16
Hôpital du Sacré-Coeur de Montréal,100,46,46,14,5,31,122,0,2020-10-16
Hôpital Fleury,61,18,11,0,0,19,91,0,2020-10-16
Hôpital Jean-Talon,82,22,18,0,0,20,99,0,2020-10-16
Pavillon Albert-Prévost,23,13,3,0,0,1,6,0,2020-10-16
Hôpital de Lachine,93,14,13,4,2,11,39,0,2020-10-16
Hôpital général de Montréal,77,31,24,8,1,20,76,0,2020-10-16
Hôpital Royal Victoria,97,33,32,10,2,17,119,2,2020-10-16
L'hôpital de Montréal pour enfants,92,12,11,1,0,5,123,2,2020-10-16
Institut de cardiologie de Montréal,36,22,8,1,0,6,51,0,2020-10-16
CHU Sainte-Justine,25,16,4,0,0,10,147,20,2020-10-17
Centre hospitalier de l'Université de Montréal,118,51,60,22,4,44,129,0,2020-10-17
Hôpital Louis-H. Lafontaine,42,12,5,2,0,1,16,0,2020-10-17
Hôpital Santa Cabrini,79,38,30,7,1,31,83,0,2020-10-17
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,96,54,52,16,6,37,160,0,2020-10-17
Centre hospitalier de St. Mary,100,22,22,3,0,14,78,0,2020-10-17
Hôpital de LaSalle,47,15,7,1,0,12,56,0,2020-10-17
Hôpital Douglas,167,6,10,3,0,4,16,0,2020-10-17
Hôpital général du Lakeshore,110,31,34,16,4,20,79,0,2020-10-17
L'Hôpital général juif Sir Mortimer B. Davis,75,53,40,6,2,30,173,1,2020-10-17
Hôpital de Verdun,92,26,24,2,0,27,92,0,2020-10-17
Hôpital Notre-Dame,109,35,38,21,8,32,70,0,2020-10-17
Hôpital du Sacré-Coeur de Montréal,96,46,44,19,5,34,129,0,2020-10-17
Hôpital Fleury,67,18,12,0,0,10,49,0,2020-10-17
Hôpital Jean-Talon,64,22,14,2,0,17,74,0,2020-10-17
Pavillon Albert-Prévost,54,13,7,1,0,1,12,0,2020-10-17
Hôpital de Lachine,57,14,8,4,1,5,26,0,2020-10-17
Hôpital général de Montréal,94,31,29,10,4,28,74,0,2020-10-17
Hôpital Royal Victoria,109,33,36,9,4,19,101,0,2020-10-17
L'hôpital de Montréal pour enfants,50,12,6,0,0,4,113,1,2020-10-17
Institut de cardiologie de Montréal,32,22,7,1,0,1,38,0,2020-10-17
CHU Sainte-Justine,44,16,7,0,0,11,131,17,2020-10-18
Centre hospitalier de l'Université de Montréal,127,51,65,24,9,40,150,0,2020-10-18
Hôpital Louis-H. Lafontaine,108,12,13,5,1,1,16,0,2020-10-18
Hôpital Santa Cabrini,74,38,28,5,0,26,73,0,2020-10-18
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,111,54,60,14,5,39,125,1,2020-10-18
Centre hospitalier de St. Mary,68,22,15,1,0,17,78,0,2020-10-18
Hôpital de LaSalle,20,15,3,0,0,9,51,0,2020-10-18
Hôpital Douglas,267,6,16,7,1,3,15,0,2020-10-18
Hôpital général du Lakeshore,152,31,47,23,10,17,76,0,2020-10-18
L'Hôpital général juif Sir Mortimer B. Davis,87,53,46,6,3,27,169,1,2020-10-18
Hôpital de Verdun,123,26,32,7,0,27,90,0,2020-10-18
Hôpital Notre-Dame,117,35,41,17,9,28,81,0,2020-10-18
Hôpital du Sacré-Coeur de Montréal,91,46,42,25,11,25,100,0,2020-10-18
Hôpital Fleury,61,18,11,0,0,15,62,0,2020-10-18
Hôpital Jean-Talon,68,22,15,2,1,19,83,0,2020-10-18
Pavillon Albert-Prévost,46,13,6,4,0,0,6,0,2020-10-18
Hôpital de Lachine,86,14,12,2,1,10,27,0,2020-10-18
Hôpital général de Montréal,119,31,37,16,8,23,57,0,2020-10-18
Hôpital Royal Victoria,115,33,38,12,5,13,96,0,2020-10-18
L'hôpital de Montréal pour enfants,75,12,9,0,0,6,132,2,2020-10-18
Institut de cardiologie de Montréal,50,22,11,1,0,4,29,0,2020-10-18
CHU Sainte-Justine,31,16,5,0,0,6,151,11,2020-10-19
Centre hospitalier de l'Université de Montréal,127,51,65,24,8,45,160,0,2020-10-19
Hôpital Louis-H. Lafontaine,108,12,13,4,1,3,20,0,2020-10-19
Hôpital Santa Cabrini,74,38,28,7,1,32,80,0,2020-10-19
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,137,54,74,21,5,47,164,0,2020-10-19
Centre hospitalier de St. Mary,77,22,17,1,0,22,104,0,2020-10-19
Hôpital de LaSalle,80,15,12,0,0,6,73,0,2020-10-19
Hôpital Douglas,217,6,13,3,0,2,17,0,2020-10-19
Hôpital général du Lakeshore,145,31,45,17,9,14,80,0,2020-10-19
L'Hôpital général juif Sir Mortimer B. Davis,83,53,44,8,3,32,199,0,2020-10-19
Hôpital de Verdun,92,26,24,7,2,28,93,0,2020-10-19
Hôpital Notre-Dame,134,35,47,18,9,33,94,0,2020-10-19
Hôpital du Sacré-Coeur de Montréal,111,46,51,21,9,26,152,0,2020-10-19
Hôpital Fleury,72,18,13,0,0,20,91,0,2020-10-19
Hôpital Jean-Talon,82,22,18,1,0,17,94,0,2020-10-19
Pavillon Albert-Prévost,23,13,3,0,0,0,9,0,2020-10-19
Hôpital de Lachine,86,14,12,6,1,8,45,0,2020-10-19
Hôpital général de Montréal,113,31,35,12,6,25,78,0,2020-10-19
Hôpital Royal Victoria,133,33,44,17,8,14,135,0,2020-10-19
L'hôpital de Montréal pour enfants,50,12,6,0,0,9,125,0,2020-10-19
Institut de cardiologie de Montréal,59,22,13,4,1,6,55,0,2020-10-19
CHU Sainte-Justine,44,16,7,0,0,5,157,21,2020-10-20
Centre hospitalier de l'Université de Montréal,124,51,63,18,5,46,150,0,2020-10-20
Hôpital Louis-H. Lafontaine,108,12,13,7,1,1,11,0,2020-10-20
Hôpital Santa Cabrini,108,38,41,8,0,33,93,0,2020-10-20
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,135,54,73,26,2,50,156,0,2020-10-20
Centre hospitalier de St. Mary,77,22,17,1,0,17,96,0,2020-10-20
Hôpital de LaSalle,93,15,14,0,0,11,63,0,2020-10-20
Hôpital Douglas,67,6,4,0,0,1,18,0,2020-10-20
Hôpital général du Lakeshore,113,31,35,12,1,20,93,0,2020-10-20
L'Hôpital général juif Sir Mortimer B. Davis,94,53,50,8,2,38,178,0,2020-10-20
Hôpital de Verdun,100,26,26,3,0,28,106,0,2020-10-20
Hôpital Notre-Dame,129,35,45,14,2,34,79,0,2020-10-20
Hôpital du Sacré-Coeur de Montréal,104,46,48,15,4,30,127,0,2020-10-20
Hôpital Fleury,78,18,14,1,0,18,81,0,2020-10-20
Hôpital Jean-Talon,64,22,14,3,0,23,88,1,2020-10-20
Pavillon Albert-Prévost,31,13,4,0,0,0,7,0,2020-10-20
Hôpital de Lachine,129,14,18,7,3,7,38,0,2020-10-20
Hôpital général de Montréal,123,31,38,11,3,27,74,0,2020-10-20
Hôpital Royal Victoria,136,33,45,14,7,22,128,0,2020-10-20
L'hôpital de Montréal pour enfants,17,12,2,0,0,4,134,0,2020-10-20
Institut de cardiologie de Montréal,73,22,16,1,0,5,44,0,2020-10-20
CHU Sainte-Justine,38,16,6,0,0,14,133,16,2020-10-21
Centre hospitalier de l'Université de Montréal,118,51,60,28,8,42,142,0,2020-10-21
Hôpital Louis-H. Lafontaine,92,12,11,7,2,0,6,0,2020-10-21
Hôpital Santa Cabrini,105,38,40,6,0,30,82,0,2020-10-21
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,131,54,71,24,6,36,168,0,2020-10-21
Centre hospitalier de St. Mary,82,22,18,1,0,19,95,0,2020-10-21
Hôpital de LaSalle,93,15,14,2,0,8,59,0,2020-10-21
Hôpital Douglas,67,6,4,0,0,0,13,0,2020-10-21
Hôpital général du Lakeshore,103,31,32,6,2,15,93,0,2020-10-21
L'Hôpital général juif Sir Mortimer B. Davis,98,53,52,5,1,34,190,0,2020-10-21
Hôpital de Verdun,142,26,37,2,0,26,86,0,2020-10-21
Hôpital Notre-Dame,94,35,33,10,4,32,77,0,2020-10-21
Hôpital du Sacré-Coeur de Montréal,87,46,40,14,4,27,134,1,2020-10-21
Hôpital Fleury,111,18,20,1,0,17,76,0,2020-10-21
Hôpital Jean-Talon,73,22,16,3,0,17,76,1,2020-10-21
Pavillon Albert-Prévost,23,13,3,1,0,1,10,0,2020-10-21
Hôpital de Lachine,79,14,11,7,0,9,40,0,2020-10-21
Hôpital général de Montréal,84,31,26,9,2,26,65,0,2020-10-21
Hôpital Royal Victoria,133,33,44,18,8,17,109,3,2020-10-21
L'hôpital de Montréal pour enfants,50,12,6,0,0,5,107,1,2020-10-21
Institut de cardiologie de Montréal,59,22,13,3,0,2,41,0,2020-10-21
CHU Sainte-Justine,19,16,3,0,0,15,141,19,2020-10-22
Centre hospitalier de l'Université de Montréal,120,51,61,19,10,50,141,0,2020-10-22
Hôpital Louis-H. Lafontaine,108,12,13,6,4,2,15,0,2020-10-22
Hôpital Santa Cabrini,100,38,38,15,1,35,101,0,2020-10-22
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,119,54,64,18,5,49,143,1,2020-10-22
Centre hospitalier de St. Mary,105,22,23,2,0,24,96,0,2020-10-22
Hôpital de LaSalle,73,15,11,2,0,12,53,0,2020-10-22
Hôpital Douglas,133,6,8,0,0,4,19,0,2020-10-22
Hôpital général du Lakeshore,129,31,40,9,1,26,103,0,2020-10-22
L'Hôpital général juif Sir Mortimer B. Davis,98,53,52,5,1,40,204,1,2020-10-22
Hôpital de Verdun,112,26,29,5,0,30,100,0,2020-10-22
Hôpital Notre-Dame,114,35,40,13,2,41,101,0,2020-10-22
Hôpital du Sacré-Coeur de Montréal,130,46,60,10,2,32,146,0,2020-10-22
Hôpital Fleury,83,18,15,3,0,17,79,0,2020-10-22
Hôpital Jean-Talon,109,22,24,3,0,19,103,1,2020-10-22
Pavillon Albert-Prévost,31,13,4,1,1,0,8,0,2020-10-22
Hôpital de Lachine,86,14,12,3,2,11,36,0,2020-10-22
Hôpital général de Montréal,113,31,35,8,2,26,68,0,2020-10-22
Hôpital Royal Victoria,124,33,41,19,8,17,105,0,2020-10-22
L'hôpital de Montréal pour enfants,67,12,8,0,0,4,132,2,2020-10-22
Institut de cardiologie de Montréal,55,22,12,2,1,5,53,0,2020-10-22
CHU Sainte-Justine,44,16,7,0,0,11,147,12,2020-10-23
Centre hospitalier de l'Université de Montréal,124,51,63,11,2,49,159,0,2020-10-23
Hôpital Louis-H. Lafontaine,108,12,13,5,3,3,14,0,2020-10-23
Hôpital Santa Cabrini,116,38,44,19,2,30,95,0,2020-10-23
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,135,54,73,26,4,45,169,0,2020-10-23
Centre hospitalier de St. Mary,91,22,20,1,1,25,88,0,2020-10-23
Hôpital de LaSalle,60,15,9,0,0,9,61,0,2020-10-23
Hôpital Douglas,150,6,9,1,0,4,26,0,2020-10-23
Hôpital général du Lakeshore,87,31,27,5,0,21,95,0,2020-10-23
L'Hôpital général juif Sir Mortimer B. Davis,106,53,56,8,2,41,205,0,2020-10-23
Hôpital de Verdun,127,26,33,5,0,28,88,0,2020-10-23
Hôpital Notre-Dame,91,35,32,7,1,34,92,0,2020-10-23
Hôpital du Sacré-Coeur de Montréal,91,46,42,10,0,44,137,0,2020-10-23
Hôpital Fleury,83,18,15,1,0,19,89,1,2020-10-23
Hôpital Jean-Talon,82,22,18,5,0,23,86,0,2020-10-23
Pavillon Albert-Prévost,23,13,3,0,0,1,6,0,2020-10-23
Hôpital de Lachine,64,14,9,1,0,8,42,0,2020-10-23
Hôpital général de Montréal,123,31,38,8,4,31,86,0,2020-10-23
Hôpital Royal Victoria,133,33,44,16,8,18,120,0,2020-10-23
L'hôpital de Montréal pour enfants,42,12,5,0,0,8,120,1,2020-10-23
Institut de cardiologie de Montréal,50,22,11,1,0,1,56,0,2020-10-23
CHU Sainte-Justine,38,16,6,0,0,7,152,22,2020-10-24
Centre hospitalier de l'Université de Montréal,102,51,52,20,4,38,127,0,2020-10-24
Hôpital Louis-H. Lafontaine,142,12,17,11,5,1,10,0,2020-10-24
Hôpital Santa Cabrini,82,38,31,13,3,29,63,0,2020-10-24
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,152,54,82,36,11,43,149,0,2020-10-24
Centre hospitalier de St. Mary,91,22,20,3,0,18,82,0,2020-10-24
Hôpital de LaSalle,60,15,9,2,0,8,60,0,2020-10-24
Hôpital Douglas,133,6,8,1,0,4,19,0,2020-10-24
Hôpital général du Lakeshore,84,31,26,7,0,17,87,0,2020-10-24
L'Hôpital général juif Sir Mortimer B. Davis,81,53,43,8,3,33,151,0,2020-10-24
Hôpital de Verdun,73,26,19,4,0,28,80,0,2020-10-24
Hôpital Notre-Dame,80,35,28,7,1,35,81,0,2020-10-24
Hôpital du Sacré-Coeur de Montréal,87,46,40,11,4,27,107,1,2020-10-24
Hôpital Fleury,94,18,17,0,0,13,65,1,2020-10-24
Hôpital Jean-Talon,68,22,15,1,0,16,74,0,2020-10-24
Pavillon Albert-Prévost,38,13,5,1,0,4,10,0,2020-10-24
Hôpital de Lachine,50,14,7,1,0,7,31,0,2020-10-24
Hôpital général de Montréal,100,31,31,9,2,25,59,1,2020-10-24
Hôpital Royal Victoria,124,33,41,21,8,18,109,1,2020-10-24
L'hôpital de Montréal pour enfants,75,12,9,0,0,3,127,1,2020-10-24
Institut de cardiologie de Montréal,23,22,5,2,0,5,32,0,2020-10-24
CHU Sainte-Justine,25,16,4,0,0,9,150,14,2020-10-25
Centre hospitalier de l'Université de Montréal,114,51,58,20,9,37,109,0,2020-10-25
Hôpital Louis-H. Lafontaine,125,12,15,10,6,2,10,0,2020-10-25
Hôpital Santa Cabrini,84,38,32,13,2,30,51,0,2020-10-25
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,135,54,73,30,11,44,138,0,2020-10-25
Centre hospitalier de St. Mary,114,22,25,3,1,20,66,0,2020-10-25
Hôpital de LaSalle,60,15,9,1,0,11,48,0,2020-10-25
Hôpital Douglas,133,6,8,2,0,5,16,0,2020-10-25
Hôpital général du Lakeshore,65,31,20,2,1,25,90,0,2020-10-25
L'Hôpital général juif Sir Mortimer B. Davis,85,53,45,13,6,32,147,2,2020-10-25
Hôpital de Verdun,131,26,34,8,2,25,91,0,2020-10-25
Hôpital Notre-Dame,100,35,35,8,1,28,72,0,2020-10-25
Hôpital du Sacré-Coeur de Montréal,91,46,42,19,6,30,112,0,2020-10-25
Hôpital Fleury,56,18,10,0,0,20,59,2,2020-10-25
Hôpital Jean-Talon,95,22,21,2,0,17,80,1,2020-10-25
Pavillon Albert-Prévost,23,13,3,0,0,1,7,0,2020-10-25
Hôpital de Lachine,64,14,9,1,0,10,33,0,2020-10-25
Hôpital général de Montréal,71,31,22,5,4,24,71,0,2020-10-25
Hôpital Royal Victoria,136,33,45,21,10,18,94,0,2020-10-25
L'hôpital de Montréal pour enfants,58,12,7,0,0,4,124,0,2020-10-25
Institut de cardiologie de Montréal,32,22,7,1,0,3,28,0,2020-10-25
CHU Sainte-Justine,25,16,4,0,0,6,149,20,2020-10-26
Centre hospitalier de l'Université de Montréal,137,51,70,23,6,55,177,0,2020-10-26
Hôpital Louis-H. Lafontaine,117,12,14,8,5,7,12,0,2020-10-26
Hôpital Santa Cabrini,76,38,29,7,4,33,67,0,2020-10-26
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,131,54,71,21,6,42,167,1,2020-10-26
Centre hospitalier de St. Mary,118,22,26,2,0,24,97,0,2020-10-26
Hôpital de LaSalle,80,15,12,0,0,7,60,0,2020-10-26
Hôpital Douglas,83,6,5,1,0,2,10,0,2020-10-26
